serving_size,amount
114.0,5.26
114.0,3.07
136.0,19.85
112.0,12.5
112.0,18.75
112.0,14.29
112.0,7.14
149.0,26.85
112.0,18.75
112.0,18.75
114.0,3.51
114.0,3.07
113.0,15.93
112.0,26.79
113.0,4.42
112.0,12.5
113.0,15.04
112.0,15.18
151.0,17.88
149.0,20.13
112.0,19.64
112.0,15.18
112.0,9.82
112.0,19.64
150.0,20.0
112.0,12.5
112.0,25.0
112.0,15.18
112.0,26.79
112.0,16.07
114.0,19.3
142.0,12.68
142.0,12.68
112.0,1.34
113.0,7.96
112.0,4.46
113.0,15.04
113.0,1.33
112.0,18.75
120.0,15.0
113.0,13.27
112.0,15.18
112.0,15.18
113.0,18.58
117.0,16.24
113.0,15.93
112.0,15.18
112.0,19.64
113.0,12.39
112.0,9.82
112.0,6.25
113.0,14.16
113.0,11.5
113.0,9.73
112.0,8.04
113.0,13.27
130.0,5.38
130.0,16.92
125.0,5.6
125.0,17.6
113.0,9.91
114.0,2.19
113.0,7.08
113.0,12.39
113.0,20.35
113.0,9.73
113.0,15.04
113.0,15.04
112.0,22.32
112.0,29.46
112.0,23.21
112.0,19.64
113.0,17.7
113.0,17.7
112.0,4.02
112.0,8.93
112.0,4.02
112.0,18.75
112.0,17.86
113.0,24.78
112.0,20.54
112.0,11.61
112.0,12.5
151.0,9.93
113.0,15.04
114.0,3.51
114.0,3.51
113.0,15.04
112.0,7.14
113.0,18.58
112.0,4.46
112.0,16.07
113.0,9.73
113.0,24.78
113.0,24.78
112.0,9.82
140.0,1.43
112.0,9.82
170.0,2.35
113.0,15.04
112.0,15.18
113.0,3.1
113.0,9.73
113.0,9.73
112.0,15.18
112.0,3.57
112.0,3.57
140.0,9.29
112.0,11.61
112.0,24.11
112.0,20.54
112.0,19.64
112.0,2.68
113.0,6.19
151.0,19.87
112.0,16.96
140.0,12.86
112.0,14.29
112.0,19.64
112.0,18.75
112.0,15.18
170.0,11.76
114.0,5.26
114.0,3.07
114.0,3.51
114.0,3.07
113.0,4.42
114.0,13.16
120.0,15.0
113.0,13.27
113.0,15.04
114.0,3.51
114.0,3.51
113.0,11.5
112.0,16.96
113.0,7.96
113.0,7.08
112.0,11.61
112.0,15.18
151.0,9.93
113.0,20.35
112.0,20.54
125.0,8.8
112.0,17.86
113.0,9.73
113.0,18.58
112.0,4.46
112.0,16.07
112.0,14.29
112.0,1.79
113.0,9.73
113.0,8.85
113.0,9.73
142.0,12.68
113.0,24.78
113.0,24.78
112.0,8.93
112.0,4.46
112.0,4.46
112.0,12.5
128.0,4.69
140.0,14.29
112.0,3.57
112.0,8.93
140.0,1.43
114.0,6.14
113.0,2.21
150.0,1.67
113.0,2.21
112.0,9.82
112.0,27.68
170.0,2.35
113.0,15.04
112.0,15.18
113.0,3.1
113.0,9.73
113.0,9.73
113.0,9.73
142.0,10.56
112.0,15.18
112.0,15.18
170.0,16.47
112.0,3.57
112.0,10.71
112.0,3.57
113.0,27.43
