serving_size,amount
112.0,9.82
112.0,6.25
112.0,11.61
112.0,12.5
112.0,7.14
112.0,14.29
112.0,19.64
112.0,18.75
113.0,20.35
112.0,26.79
112.0,15.18
112.0,18.75
112.0,27.68
112.0,7.14
112.0,15.18
112.0,26.79
112.0,19.64
112.0,19.64
112.0,26.79
112.0,9.82
112.0,3.57
112.0,3.57
112.0,3.57
112.0,3.57
112.0,9.82
112.0,6.25
112.0,26.79
112.0,15.18
112.0,18.75
112.0,27.68
112.0,7.14
112.0,15.18
112.0,26.79
112.0,18.75
112.0,19.64
112.0,19.64
112.0,26.79
112.0,9.82
112.0,3.57
112.0,3.57
112.0,3.57
112.0,3.57
112.0,9.82
112.0,6.25
112.0,17.86
112.0,7.14
112.0,3.57
112.0,11.61
112.0,12.5
112.0,7.14
112.0,14.29
112.0,19.64
112.0,18.75
113.0,20.35
113.0,20.35
112.0,19.64
112.0,15.18
112.0,19.64
112.0,26.79
112.0,19.64
112.0,15.18
112.0,19.64
151.0,19.21
112.0,15.18
112.0,19.64
112.0,13.39
151.0,7.28
112.0,6.25
112.0,6.25
112.0,18.75
112.0,14.29
112.0,8.04
112.0,12.5
112.0,15.18
151.0,15.23
170.0,4.71
112.0,3.57
112.0,3.57
141.0,9.22
112.0,7.14
112.0,7.14
112.0,19.64
112.0,15.18
112.0,19.64
112.0,26.79
112.0,19.64
112.0,15.18
112.0,19.64
151.0,19.21
112.0,15.18
151.0,7.28
112.0,6.25
112.0,6.25
112.0,18.75
112.0,8.04
112.0,12.5
151.0,15.23
170.0,4.71
112.0,3.57
112.0,3.57
141.0,9.22
112.0,7.14
112.0,7.14
112.0,19.64
112.0,15.18
112.0,19.64
112.0,26.79
112.0,19.64
112.0,15.18
112.0,19.64
151.0,19.21
112.0,15.18
112.0,19.64
112.0,13.39
151.0,7.28
112.0,6.25
112.0,6.25
112.0,18.75
112.0,14.29
112.0,8.04
112.0,12.5
151.0,15.23
170.0,4.71
112.0,3.57
112.0,3.57
141.0,9.22
112.0,7.14
112.0,7.14
135.0,2.22
112.0,26.79
112.0,15.18
112.0,18.75
112.0,27.68
112.0,7.14
112.0,15.18
112.0,18.75
112.0,19.64
112.0,15.18
112.0,3.57
112.0,3.57
112.0,3.57
112.0,3.57
112.0,9.82
112.0,6.25
112.0,17.86
112.0,3.57
112.0,11.61
112.0,12.5
112.0,14.29
112.0,19.64
112.0,18.75
113.0,20.35
113.0,20.35
112.0,15.18
112.0,19.64
112.0,8.04
112.0,9.82
142.0,11.97
151.0,7.28
135.0,2.22
112.0,9.82
112.0,13.39
112.0,10.71
112.0,50.89
112.0,13.39
112.0,10.71
112.0,50.89
